タイトル,価格,販売数
[N MINT w/ Case] Longines 832 1209 Cal. 523 Hand Winding Men's Swiss Made Watch,264.99,1
[Near MINT] LONGINES Dress Watch 34mm Gold Dial Men's Hand-Winding Watch JAPAN,239.99,1
[Near MINT] Longines Presence 156.7114 Gold Square Quartz Men's Watch From JAPAN,200.0,1
Vintage【Exc+5】 LONGINES CHARLESTON L176 5228 Roman Gold Quartz Men's Watch JAPAN,239.9,1
[Near MINT] LONGINES Grande Classique 7413 Quartz Men's Vintage Watch From JAPAN,249.99,1
Vintage Longines Women's Quartz Watch From Japan Swiss,100.0,1
[Exc+5 w/Paper] LONGINES Flagship L161.2 3359 Gold Dial Date Quartz Men's Watch,140.0,1
[Near MINT] LONGINES 962 6674 Gold Dial 30mm Quartz Men's Watch VIntage,219.9,1
"Vintage ""N MINT"" Longines Flagship L847.3 30mm Square Men's Hand Winding Watch",249.9,1
Longines Heritage Paul Emile White Dial Automatic Date Analog Men's Watch Used,1304.21,1
[NEAR MINT] Vintage Longines 717 4351 Gold Square Quartz Womens Watch From JAPAN,145.9,1
◆Vintage N MINT◆ LONGINES 166 SWISS 6838 L166.4 Gold Day/Date 33mm Men's Watch,199.99,1
[Near MINT] LONGINES 0961 Gold Vintage 17mm Quartz Ladies Watch From Japan,299.9,1
Authentic Longines Vintage Watch Quartz 34mm Swiss Gold Plated Flagship,450.0,1
Longines Flagship 7281 Quartz chronograph black watch,348.0,1
New Band [Near MINT] Longines 153 6742 Grey Dial Quartz Women's From JAPAN W642,199.9,1
Longines Conquest 152.4937 Quartz Date Gold Dial Women’s Watch 24mm Swiss Made,149.0,1
LONGINES Quartz Watch Silver Dial Stainless Mens 18cm 7.08in Battery Works Clean,210.24,1
[Exc+5] LONGINES 150th Anniversary 976 5159 Qz Square Small Second Men's Watch,299.99,1
Vintage 1989 [N MINT] LONGINES 153 7049 Gold Square 22mm Qtz Ladies Watch JAPAN,189.9,1
Reserved Longines Conquest L16144 Watch Men's 33mm Quartz Vintage Date Swiss,160.0,1
[Near MINT] Longines Grand Classic 140 7426 Gold Dial 26mm Quartz Men's Watch,219.9,1
[ Exc+5 ] Longines conquest 152 4937 Gray Dial Gold Silver 21mm Women's Watch,219.99,1
[ Exc+5 ] Longines Charleston L176 5228 Roman Ivory Dial Qz Men's Watch JAPAN,210.0,1
Vintage [N MINT] LONGINES L645.1 645 4120 Automatic Roman 34mm Men's Swiss Watch,369.99,1
LONGINES f-21162 Case Size 3.7 ×3.6cm Wrist Size 15.5cm Used Watch #101021,181.0,1
LONGINES FLAGSHIP Cal.647.3 HAND-WINDING SILVER MEN'S VINTAGE WATCH SWISS G39,218.0,1
LONGINES Grades Classiques Vintage Mens Watch New Leather Band New battery 7411,168.0,1
Vintage [Exc+5 w/ Case] LONGINES L645.1 Gold 33mm Automatic Men's Swiss Watch,299.9,1
NewBatt. MINT Longines Conquest 4937 17 Gold Dial Bracelet Date Qz Watch JAPAN,185.0,1
LONGINES Vintage Mans Watch Quartz Gold Dial New Battery 21363556 Swiss Made,178.0,1
*Original Band* Longines Presence 156 6801 Gold Dial Date Quartz Men's Watch,199.99,1
[Exc+5] Longines 150 7050 L150 Gold Dial Square Quartz 30mm Swiss Men's Watch,169.9,1
Longines Flagship Watch Men's Quartz 32mm Date Vintage Round Gold Swiss Made,177.6,1
LONGINES Flagship Heritage Cal.615.3  27Jewels Automatic.,1460.0,1
LONGINES Grand Classic Chronograph Used Watch 7174 Gold White Black,445.0,1
LONGINES VINTAGE BOX RED CASE,110.0,1
[Near MINT] LONGINES L744.2 34mm Silver Dial Date Quartz Men Watch From JAPAN,199.99,1
Longines 18K Heritage 1968 Men's M watch men TO154694,4778.5,1
LONGINES 4469 Mens Vintage Watch Gold Dial Quartz New Leather Band New Battery,158.0,1
[N MINT] Vintage Longines 729 4829 Gold Dial Date 33mm Quartz Men's Watch JAPAN,320.56,1
LONGINES ADMIRAL 5 Five Star Date Silver Automatic Men's Watch Vintage 35mm,408.0,1
Vintage【Near MINT】Longines 150 7143 Gold Dial 33mm Quartz Men's Watch From JAPAN,130.0,1
LONGINES Olympian Date vintage Silver Dial Automatic Men's Watch_882421,515.23,1
"*NEAR MINT* LONGINES Presence Quartz White Dial Round 24 mm Women,Ladies Watch",179.99,1
LONGINES Casual Watch Silver/Gold Excellent Condition,460.74,1
[NEAR MINT] Vintage Longines 963 3345 21mm Gold Dial Quartz Women's Watch JAPAN,279.9,1
LONGINES Vintage Ladies Watch 19043095 Gold SS New Leather Band New battery,108.0,1
[MINT] Vintage LONGINES Classiques Gold Quartz Ladies Watch,198.0,1
LONGINES Vintage Flagship Quartz Used Watch,279.0,1
Longines La Grande Classique L42094 Women's Watch Shell Dial Used,412.99,1
Vintage [Near MINT] Longines 150 6879 Gold Quartz 32mm Men's Swiss Watch,118.0,1
Vintage [ MINT ] Longines Presence 152 6800 Gold Qz 23mm Ladies Watch JAPAN,199.99,1
【N.MINT】 Vintage Longines Presence Roman Quartz Women's Watch -Ships from US,220.0,1
[EXC+5] LONGINES CHARLESTON L176.2 32mm Roman Dial Small Second Quartz Men Watch,249.99,1
[Exc+5] Longines Presence 150 SWISS 6799 Gold Quartz 32mm Men's Swiss Made Watch,149.9,1
"Vintage ""Exc+5"" LONGINES ULTRA-CHRON Automatic Silver Men's Date Watch JAPAN",430.0,1
Vintage [Exc+5] LONGINES Cal.428 Hand Winding Silver 41mm 17J Swiss Pocket Watch,179.99,1
Longines Watch Automatic Women's SilverxGold Dial Swiss Made Round Japan,130.18,1
【Exc+5】Vintage Longines 832 1193 Gold 27mm Square Hand Winding Men Unisex Watch,199.9,1
Vintage [MINT] LONGINES 6581 L978.2 30mm Gold Square Quartz Men Watch,215.99,1
[EXCELLENT+5] LONGINES Conquest V.H.P 4018 Silver Dial Men's Quartz Watch,200.0,1
SWISS LONGINES ADMIRAL 5 STARS cal.506 21Jewels Automatic.,660.0,1
LONGINES Admiral 5 Star Date cal.6651 Silver Dial Automatic Men's Watch_849159,538.2,1
[Near MINT] LONGINES White Dial 22mm Date Women's Quartz Watch From JAPAN,152.99,1
▶[MINT] Vintage LONGINES L847.4 White Roman Men's Hand Winding Watch From JP U53,309.99,1
[NEAR MINT] Longines Small Second 864.1095 Manual Winding Mens Vintage Watch JPN,359.99,1
VINTAGE LONGINES Gold Black Watch Working AM659,118.8,1
"Vintage ""N Mint"" Longines Gold 28mm Men's Rectangle Manual Winding Watch JAPAN",225.0,1
LONGINES L150.2 MEN'S 31mm SILVER VINTAGE WATCH SWISS QUARTZ F568,169.29,1
LONGINES CONQUEST V.H.P L237.2 DATE MEN'S WHITE VINTAGE WATCH SWISS QUARTZ F512,199.0,1
Longines Flagship Chronograph 7281 Quartz 37mm Vintage Swiss Made Men's Watch,299.99,1
LONGINES CONQUEST DAY/DATE MEN'S GOLD PLATED VINTAGE WATCH SWISS QUARTZ F485,223.2,1
Longines Quartz 153 SWISS 7034 Gold Dial Case 22mm Swiss Vintage Watch [Video],189.99,1
LONGINES L150.4 MEN'S VINTAGE GOLD PLATED WATCH QUARTZ SWISS MADE F484,151.2,1
【 EXC+3 】 Vintage LONGINES Flagship 153 3329 20mm Silver Dial Qz Women's Watch,239.9,1
[Near MINT w/Case] Longines Presence L150.4 30mm Gold Dial Square Qz Men's Watch,240.0,1
Longines Watch Quartz Men's Gold Dial Swiss Made Square Vintage From Japan,115.4,1
[Near MINT] Vintage Longines QWR L963.4 17mm Gold Dial Band Quartz Women's Watch,299.99,1
*Exc+5* Vintage LONGINES Presence Cal.L151.2 Quartz Gold Dial Women Watch JAPAN,140.24,1
【EXCELLENT +5】 LONGINES 153 6709 Vintage Grand Classic Gold Quartz Woman's Japan,150.0,1
【N MINT】 Vintage LONGINES 156 7041 Gold Date Quartz Men's Watch From Japan #5346,189.9,1
Vintage [Near MINT] Longines L847.4 17J Gold Dial Hand Winding Men's Watch JAPAN,259.99,1
"Vintage ""Near Mint"" Longines 150 6881 Quartz Men's Gold Square Watch From JAPAN",199.99,1
[Exc+5] LONGINES L960.2 33mm Gold Dial Quartz Men's Watch From JAPAN,139.99,1
[N MINT] Longines Cal.L847.4 Ref.508 Gold Manual Winding Men's Watch Vintage,219.8,1
Longines Watch Manual 20.5mm Women's Silver Dial Swiss Made Square Vintage,131.0,1
Vintage Longines 960 6083 Gold White Roman Dial Unisex Quartz Watch From JAPAN,180.0,1
Rare Vintage 1970s Longines Ref. 8099 Cal. 428 Powdered Green Dial Tank Swiss,500.0,1
LONGINES PRESENCE L156.4 DATE MEN'S GOLD PLATED VINTAGE WATCH SWISS QUARTZ F585,158.0,1
LONGINES L150.2 MEN'S GOLD PLATED VINTAGE WATCH QUARTZ SWISS MADE F536,110.0,1
[Exc+5] Vintage LONGINES ULTRA CHRON Chronometer Silver AT Men's From JAPAN W514,529.9,1
LONGINES FLAGSHIP L962.2 MEN'S SILVER GOLD VINTAGE WATCH SWISS QUARTZ F633,176.8,1
Vintage 1984 [MINT] LONGINES Cal.528 832 SWISS 1193 Hand Winding Men's Watch,269.99,1
Rare Model Longines Vintage Conquest Ref.4985 Black Dial date Quartz Men's Watch,260.0,1
LONGINES SILVER Roman dial Hand winding Men's Watch Vintage 33mm,260.0,1
[Near MINT w/Box Paper] LONGINES Charleston Moon Phase 5221 Quartz Men's Watch,522.49,1
[Exc+5] Longines Cal.L633.1 633 1570 Silver Dial Day Automatic Men's Watch,379.99,1
"Longines Dolce Vita Heart Diamond Smoseco Shell Ladies Watch Longines,10426",466.0,1
Automatic Conquest 9044-8 Watch Longines,435.11,1
LONGINES L150.4 MEN'S GOLD PLATED VINTAGE WATCH SWISS MADE QUARTZ F598,159.88,1
Longines Watch Quartz 32.9mm Men's Gold Dial Swiss Made Round Vintage No Box,192.0,1
LONGINES L150.4 MEN'S GOLD PLATED WHITE DIAL VINTAGE WATCH SWISS QUARTZ F668,151.3,1
LONGINES Cal.L847.4 Silver Dial Hand Winding Men's Watch_862479,253.3,1
LONGINES L977.2 MEN'S GOLD PLATED VINTAGE WATCH QUARTZ SWISS MADE F622,143.74,1
[MINT w/ Case] Longines 832 1209 Cal. 523 Gold Dial Hand Winding Men Watch JAPAN,299.9,1
Longines Watch Quartz 32mm Men's Gold Dial Swiss Made Round Vintage No Box,205.6,1
LONGINES CONQUEST Ti L161.2 DATE MEN'S GRAY VINTAGE WATCH SWISS QUARTZ F573,185.3,1
Longines Watch in working condition hand-wound ladies' silver white dial,49.99,1
Vintage [Exc+5] Longines Presence 150 SWISS 7112 Cal.150.4 Quartz Men's Watch,189.9,1
【Exc+5】 Vintage Longines 817 1137 Gold 22mm Square Hand Winding Women's Watch,149.9,1
【Exc+5】 Vintage LONGINES 950 4841 Gold Roman Quartz Men's Watch From Japan #5406,149.9,1
[MINT] LONGINES Conquest V.H.P VHP White Dial Men's Quartz Watch from JAPAN,284.05,1
"[w/Box, Paper ] Longines Heritage Skin Diver 300M Automatic 42mm Black L28224562",900.0,1
LONGINES Lindbergh Hour Angle 989.5215 Cal.L989.2 Automatic Men's Watch_863688,1626.56,1
LONGINES FLAGSHIP MEN'S SILVER GOLD VINTAGE WATCH SWISS QUARTZ F638,135.66,1
Vintage [Near MINT] LONGINES Round Quartz 150 6879 Gold Men's Watch From JAPAN,179.99,1
LONGINES Ultracron Date Silver Dial Automatic Men's Watch_837532,448.8,1
[Near MINT] Longines Presence L150.4 150 6960 32mm Gold Dial Quartz Men's Watch,130.0,1
LONGINES Admiral 5 Five Star Date Silver Dial Automatic Men's Watch 1960's :,469.0,1
Vintage [Exc+5] Longines 150 SWISS 6715 L150.4 Quartz Men's Watch from JAPAN,189.9,1
New Band 【 EXC+5 】 Vintage LONGINES Cal.284 35mm Silver Hand Winding Men's Watch,249.9,1
[Near MINT] Longines L150.4 150 7048 33mm White Dial Quartz Men's Watch,120.0,1
Longines Watch Manual Men's Gold Dial Swiss Made Square Box Without Vintage 72,147.56,1
Vintage [ Exc+4 ] LONGINES Flagship 3339 All Gold Quartz Watch 17.0cm 30mm JAPAN,95.0,1
【NEAR MINT】 Vintage LONGINES 150 6702 Gold Quartz Men's Watch From Japan #5371,189.9,1
"New Belt ""EXC+4"" Longines 153 6959 Gold Dial Round Quartz Women's Watch JAPAN",85.0,1
[Near MINT] Longines Cal.978.2 978 3253 31mm Gold Dial Quartz Men's Watch,229.99,1
Vintage Longines 150 7019 Gold Dial Quartz Square Men's Watch From JAPAN,215.0,1
LONGINES Date Silver Dial Automatic Men's Watch Vintage,358.0,1
Vintage ◆Exc+5◆ LONGINES Cal 410 Blue Dial Women's Hand Manual Watch From JAPAN,99.99,1
[Near MINT]  Vintage Longines Square White Dial Roman Men's Quartz Watch,199.99,1
[N MINT] Longines 846 5096 Gold Small Seconds Manual Winding 31mm Unisex Watch,379.9,1
LONGINES Black Roman Dial Hand-winding Men's Watch Vintage 33mm,269.8,1
◆Vintage N MINT++◆ LONGINES Cal L645.1 God Men's Automatic Watch 3617 From JAPAN,399.99,1
[Near MINT w/ Box] Longines L150.4 150 6175 33mm Gold Dial Quartz Men's Watch,159.99,1
New Batt [Near MINT] Longines Conquest V.H.P. 4018 Quartz Men's Watch From JAPAN,249.99,1
[Near MINT+++ w/ Box] Longines QWR L07046 152 Quartz Men's From Japan #2857,209.9,1
LONGINES L150.2 MEN'S GOLD PLATED VINTAGE WATCH SWISS MADE QUARTZ F688,119.51,1
Vintage LONGINES L847.3 Conquest TV Cushion Silver Men's Hand Manual Watch JAPAN,219.99,1
New Battery [Exc+5] Vintage Longines 150.6732 Gold Dial Quartz Men's Watch JAPAN,169.99,1
"Vintage ""Exc+5"" Longines Gold Dial Quartz Men's Swiss Made Watch From JAPAN",140.0,1
[Exc+5]LONGINES Présence L.150.4 32mm Gold Dial Quartz Men's Watch From JAPAN,159.99,1
Vintage [Near MINT] LONGINES 978 6398 Gold 28mm Tank Men's Quartz Watch JAPAN,219.9,1
LONGINES L950.2 DATE MEN'S GOLD PLATED VINTAGE WATCH SWISS QUARTZ F658,191.86,1
New Batt [N MINT] Longines Conquest Moon Phase 4010 Gold Dial Quartz Men's Watch,699.99,1
[NEAR MINT++] Longines Belle Arti L2 694 4 Quartz Men's Watch from Japan #kw106,699.99,1
"[w/Box, Paper ] Longines Record L23214722 COSC Chronometer Automatic 30mm Unisex",820.0,1
[Near MINT] Longines L156.4 156 7431 33mm White Dial Day Quartz Men's Watch,239.0,1
New Battery [N MINT] LONGINES FLAGSHIP L161.4 161 6980 Quartz Men's SWISS Watch,249.99,1
Longines Watch  30mm Vintage Square Silver Dial Manual Swiss,190.95,1
Vintage [N MINT] LONGINES 960 6206 Gold Dial Quartz Women`s Watch JAPAN 17.0cm,159.9,1
New Batt【N MINT】 LONGINES Conquest V.H.P. VHP 4018 Gray Dial Men's Quartz Watch,229.0,1
◆Vintage N MINT◆ LONGINES L962.2 Roman Dial Men's Gold Quartz Watch From JAPAN,199.99,1
[EXC+5] LONGINES Présence L.150.4 Gold Dial Quartz Mens Vintage Watch From JAPAN,149.99,1
【 Near MINT+ 】 LONGINES L150.2 150 7019 30mm Roman White Dial Quartz Men's Watch,219.9,1
*NEAR MINT* RODOLPHE by LONGINES L153.4 Quartz Gold Mens Watch Ship from JAPAN,239.9,1
Longines Rodolphe Quartz Men's Watch Vintage Japan Free Shipping,159.9,1
Longines Vintage Men's Analog Watch GoldSilver Date Function Used,236.58,1
LONGINES Conquest Titanium VHP Date Box with Guarantee Working Men s Watch,277.79,1
◆N MINT◆Vintage LONGINES Cal L994.1 Silver Automatic Mens Roman Dial Watch JAPAN,409.99,1
Vintage LONGINES Tonneau Gold Dial Manual Hand Winding Men's Watch From JAPAN,239.99,1
Vintage ◆Exc+5◆ LONGINES L633.1 Conquest Men's Automatic 34mm Watch From JAPAN,349.99,1
[Near MINT] LONGINES L717.2 Tank Roman Black 27mm Quartz Men's Watch From JAPAN,239.99,1
LONGINES ADMIRAL AUTOMATIC CHRONOMETER OFFICIALLY CERTIFIED,525.0,1
[Exc+5] Vintage LONGINES L140.2 140 6451 Gold Tank Quartz Men's Watch From JAPAN,249.99,1
[Near MINT] Longines presence L156.4 33mm Gold Dial Date Quartz Men's Watch,169.0,1
Vintage [Exc+5] Longines 847 3609 White Dial Hand Winding Men's Watch From JAPAN,199.99,1
LONGINES Master Collection Chrono Triple Calendar Moon Phase Watches L2.673....,1696.7,1
[EXC+5] LONGINES L847.3 White Roman Dial Men's Hand Winding Watch From JP U112,199.99,1
Longines Watch Quartz 23mm Women's Gold Dial SwissMade Round Vintage from JAPAN,180.0,1
[N MINT] La Grande Classique de Longines L4 209 4 Quartz Women Watch from JAPAN,329.99,1
【 EXC+5 w/ Box 】 Vintage LONGINES 153 6880 22mm White Dial Quartz Women's Watch,149.9,1
LONGINES Ultracron cal.431 date Silver Dial Automatic Men's Watch_825601,383.49,1
Longines La Grande Classique Vintage Men's Watch 37mm White Dial Black Strap,555.0,1
*NEAR MINT* Vintage LONGINES PRESENCE L150.2 Quartz Gold Dial 31mm Mens Watch JP,209.9,1
[Exc+4] Longines 978 3253 Gold Dial Tank Swiss Made Quartz Men's Watch JAPAN,149.99,1
Mint Longines Men's watch Quartz Titanium Date,225.0,1
◆Vintage N MINT++◆ LONGINES L847.4 Hand Manual Winding Silver Men's Watch JAPAN,249.99,1
[Near MINT] Longines L150.4 150 7019 30mm TV Gold Dial Quartz Men's Watch,199.99,1
LONGINES   Longines Grand Classic Men s Watch,196.05,1
[Near MINT] Vintage Longines 156 7292 Gold Dial 33mm Quartz Men's Watch JAPAN,249.9,1
LONGINES Square Manual Wind Analog Gold Watch Used Auth New Belt w/Box w-2041,179.0,1
[Near MINT w/Box] Longines L994.1 Automatic 34mm Silver Dial Date Men's Watch,489.99,1
Longines Flagship Ultronic Blue Dial Men's Watch Automatic Vintage w/box,318.0,1
LONGINES L140.4 MEN'S 30mm SILVER VINTAGE WATCH SWISS QUARTZ F698,160.0,1
Longines Manual Watch 35mm Swiss From Japan 167 6243504,205.0,1
Longines DolceVita Diamond Pink Shell Dial Quartz Ladies Watch Elegant,368.87,1
LONGINES Longines Grand Classic L5 631 3 QZ Date Round Gold Dial Men s Watch i,184.89,1
Vintage Longines Date Satin Dial Automatic Men's Watch 33mm,215.0,1
[NEAR MINT] LONGINES L156.4 6801 Gold Date Dial Men's Quartz Watch From JPN T767,159.99,1
[As-Is]  Longines 32mm Silver Dial Hand-Winding Men's Watch From Japan,170.0,1
[Near MINT] Vintage Longines 150 7229 Gold Dial 33mm Quartz Men's Watch JAPAN,209.9,1
*NEAR MINT* Vintage LONGINES L847.3 847 4427 Manual Winding 33mm Mens Watch JPN,218.41,1
Longines Charleston Moon Phase Quartz White Dial Gold Plated Men's Watch,450.0,1
"LONGINES Presence Quartz Analog Date Watch Auth New Battery,New Belt w-11119",70.0,1
LONGINES Time Zone Conquest Men s Watch SS   QZ White Dial Date Working   MC 8,130.24,1
[N Mint] LONGINES Conquest Date Gold Quartz Men's Watch Vintage 32mm w/box,250.0,1
Rare! Vintage Longines 847 Gold Color Manual Winding Men's Watch 33mm,360.0,1
Vintage [Near MINT] Longines L847.4 847 5082 17J Hand Winding Men's SWISS Watch,299.99,1
LONGINES Admiral 5 Star L636.5 Day-Date cal.L636.5 Automatic Men's Watch_871228,423.3,1
LONGINES L717.2 MEN'S GOLD PLATED VINTAGE WATCH SWISS MADE QUARTZ F713,145.0,1
【Near MINT w/Box】 Longines Conquest Gold Dial Day 24mm Quartz Women Watch JAPAN,212.0,1
LONGINES Admiral 5 Star Cal.431 Date Silver Dial Automatic Men's Watch_867347,508.3,1
Reserved Longines Watch Manual 30mm Men's White Swiss Square Vintage 847 4141,300.0,1
Longines Square Silver Quartz Watch Battery Replaced Elegant Design From JAPAN,150.0,1
[N MINT] LONGINES Conquest Perpetual 234 4024 Gold Men's Quartz Watch from JAPAN,249.99,1
New Battery [Near MINT] LONGINES Flagship Gold Women Quartz Watch From JAPAN,329.99,1
*EXC+5* LONGINES Conquest Date Gold Quartz Men's Watch Vintage 32mm From JAPAN,199.9,1
[NEAR MINT LONGINES L150.4 Presence Quartz White Dial Mens Vintage Watch JAPAN,159.99,1
【NEAR MINT】 Vintage LONGINES 156 7231 Gold Quartz Men's Watch From Japan #5397,179.9,1
[Near MINT] Longines Conquest L153.2 22mm Silver Dial Quartz Women's Watch,199.99,1
1960's Longines Ultra Chron Silver Men's Automatic watch 35mm Vintage,528.0,1
LONGINES FLAGSHIP 7292 L156.4 MEN'S DATE VINTAGE WATCH SWISS QUARTZ F733,152.0,1
New Batt [N MINT] Vintage Longines 156.7057 Gold 33mm Men's Quartz Watch JAPAN,189.99,1
[EXCELLENT+5] LONGINES Conquest V.H.P Ti Gray Dial Men's Quartz Watch,165.0,1
[Near MINT w/ Case] Longines Cal. L153.4 23mm Gold Dial Quartz Women's Watch,169.99,1
[Near Mint] LONGINES Conquest Ti V.H.P. VHP Titanium Men's Quartz Watch JAPAN,201.0,1
[Exc+5] Longines presence L152.4 24mm White Roman Dial Date Quartz Women's Watch,143.88,1
【Near MINT-】 LONGINES 805 1088 Cal.5602 24mm Gold Hand Winding Women's Watch,173.24,1
LONGINES 33mm MEN'S VINTAGE GOLD PLATED WATCH QUARTZ SWISS MADE F748,169.29,1
Vintage Longines Conquest Men' Manual Winding Watch Dial Color Black Made Swinss,299.99,1
LONGINES 【Near MINT-】 L150.2 150 6881 30mm White Dial Quartz Men's Watch,179.9,1
Beautiful Longines DolceVita Quartz Watch Silver 23.3x37mm 16cm Box Papers Japan,497.0,1
LONGINES L140.6 LES GRANDES CLASSIQUES MEN'S VINTAGE WATCH QUARTZ F755,224.1,1
LONGINES Conquest Cal.633.1 Silver Dial Automatic Men's Watch_848591,516.17,1
[Near MINT] LONGINES 150 3416 Silver Dial Two Tone Qz 32mm Unisex Ladies Watch,229.9,1
Longines 1940s Rectangular 10K Gold Men's Watch 20mm Case Vintage,420.0,1
【 Near MINT+++ 】 LONGINES 629 1663 33mm Gold Dial Date Automatic Men's Watch,399.9,1
Longines Square Gold Vintage Men's Quartz Watch 29mm,260.0,1
Vintage Longines Flagship Silver Manual Wind Ladies Watch,95.0,1
New Band 【 EXC+5 】 LONGINES L745.2 745 4382 31mm Gold Dial Square QZ Men's Watch,199.9,1
[ Exc+5 ] Longines 153 SWISS 3317 Square White Dial Gold Quartz Women's Watch,179.99,1
Reserved Longines Conquest Watch Quartz 45mm Men's Black Swiss Round Vintage,560.0,1
*NEAR MINT* Vintage LONGINES L150.2 Quartz Silver Dial 30mm Mens Watch from JPN,189.9,1
Vintage [Near MINT] LONGINES Round Quartz 150 6879 Gold Men's Watch  From JAPAN,199.99,1
LONGINES Record Date Square Automatic Men's Watch Vintage 36mm,198.0,1
Box Vintage LONGINES Conquest 161 4940 Gold Plated Date Quartz Men's Watch Swiss,209.99,1
LONGINES L.263.2 DATE MEN'S GOLD PLATED VINTAGE WATCH SWISS QUARTZ F662,186.0,1
LONGINES Date cal.994.1 Gold Dial Automatic Men's Watch_833828,442.22,1
◆Vintage N MINT◆ LONGINES Cal L645.1 Silver 34mm Men's Automatic Watch 645 JAPAN,339.99,1
Vintage Near MINT New Battery LONGINES Conquest Titanium Men's Watch Moon Phase,649.0,1
LONGINES Flagship watch #QOE5M6,68.04,1
